away_team,home_team,map,away_main_dps_kills,away_main_dps_deaths,away_main_dps_ults,away_main_dps_kdr,away_flex_dps_kills,away_flex_dps_deaths,away_flex_dps_ults,away_flex_dps_kdr,away_main_support_kills,away_main_support_deaths,away_main_support_ults,away_main_support_kdr,away_flex_support_kills,away_flex_support_deaths,away_flex_support_ults,away_flex_support_kdr,away_main_tank_kills,away_main_tank_deaths,away_main_tank_ults,away_main_tank_kdr,away_flex_tank_kills,away_flex_tank_deaths,away_flex_tank_ults,away_flex_tank_kdr,home_main_dps_kills,hom_main_dps_deaths,hom_main_dps_ults,hom_main_dps_kdr,home_flex_dps_kills,hom_flex_dps_deaths,hom_flex_dps_ults,hom_flex_dps_kdr,home_main_support_kills,hom_main_support_deaths,hom_main_support_ults,hom_main_support_kdr,home_flex_support_kills,hom_flex_support_deaths,hom_flex_support_ults,hom_flex_support_kdr,home_main_tank_kills,hom_main_tank_deaths,hom_main_tank_ults,hom_main_tank_kdr,home_flex_tank_kills,hom_flex_tank_deaths,hom_flex_tank_ults,hom_flex_tank_kdr,away_team_goats,away_team_Winston_goats,away_team_sombra_goats,away_team_ana_goats,away_team_dive,away_team_wrecking_crew,home_team_goats,home_team_Winston_goats,home_team_sombra_goats,home_team_ana_goats,home_team_dive,home_team_wrecking_crew
DAL,SFS,4,6,9,7,+2,6,11,9,-1,2,14,5,-5,2,7,6,+1,1,9,4,-1,6,11,7,-3,6,2,10,+1,9,5,5,-1,11,5,7,-1,15,5,6,+2,7,4,5,+3,11,3,7,+2,0.977,0.023,0,0.034,-0.023,0.023,1.0,0.0,0,0,0.0,0.0
CDH,GZC,1,5,11,3,-4,2,8,6,0,5,7,3,-1,4,5,4,0,1,8,2,-1,2,7,6,0,12,3,6,+1,12,3,6,+1,6,2,8,+3,5,2,7,+1,4,4,4,0,4,6,5,-2,0.096,-0.011,0,0,0.011,-0.011,0.0,0.0,0,0,0.0,0.79
CDH,GZC,2,8,7,7,-1,6,9,8,+2,8,11,8,-2,8,7,7,-1,4,4,4,+1,5,6,7,-1,4,7,7,-1,9,10,6,-1,6,9,7,+4,4,3,5,0,5,8,5,-3,10,5,7,+3,0.266,0.369,0,0.007,-0.369,0.369,0.488,-0.031,0,0,0.543,-0.541
CDH,GZC,3,5,9,4,+1,3,13,5,-3,2,11,6,-2,7,9,5,+3,1,10,4,-2,4,13,4,-1,15,5,4,+5,15,5,4,+5,8,3,6,-1,14,3,6,0,6,4,4,0,6,3,7,-1,0.0,0.003,0,0,-0.003,0.317,0.0,0.0,0,0,0.225,0.518
CDH,GZC,4,12,10,7,+2,14,8,9,0,8,8,8,-1,13,9,7,-4,0,9,6,-1,5,4,7,+1,11,12,5,+2,11,12,5,+2,14,11,8,+3,6,8,5,0,4,9,4,0,3,5,10,-1,0.097,-0.346,0,0,0.346,0.21,0.216,-0.193,0,0,0.624,-0.094
CDH,GZC,5,8,3,6,+3,4,6,6,0,7,7,5,-2,8,4,5,+3,2,5,4,0,6,6,6,-2,5,5,5,-2,3,5,7,0,5,9,6,-1,8,8,5,+2,3,4,4,+1,7,5,5,-2,0.354,0.344,0,0,-0.344,0.344,0.658,-0.022,0.282,0.142,0.022,0.277
LDN,PAR,1,4,5,2,+1,1,6,3,-2,1,4,1,-2,1,5,2,-1,1,3,3,0,1,3,3,-2,4,1,3,+2,4,1,3,+1,5,2,3,+1,3,2,3,+1,5,2,2,+1,4,1,2,0,0.264,0.145,0,0.002,0.301,-0.267,0.387,0.091,0,0,0.271,-0.262
LDN,PAR,2,15,1,6,+1,12,1,6,+1,8,4,5,+2,9,2,5,+1,4,1,3,+1,5,3,4,0,3,9,4,-3,3,11,4,0,2,11,5,-2,3,5,3,0,0,9,3,0,2,8,5,-1,1.0,-0.003,0.997,0.003,0.003,0.0,1.0,-0.035,0,0,0.035,-0.035
LDN,PAR,3,7,7,4,0,8,7,5,+1,5,7,4,0,6,3,5,+2,2,3,5,0,2,7,6,-2,14,3,6,+3,4,6,4,-3,1,6,3,-1,3,4,6,-1,6,5,4,0,3,4,6,+2,0.446,0.273,0.044,0.054,-0.013,0.094,0.973,-0.013,0,0,0.013,0.006
LDN,PAR,4,5,9,8,-1,3,8,7,-1,4,12,4,-2,5,9,8,-1,4,6,4,-1,7,8,6,-1,11,6,7,+1,7,5,7,+5,9,8,8,-1,7,6,5,0,8,7,5,+1,7,6,6,0,1.0,0.0,1.0,0.012,0.0,0.014,1.0,0.0,0,0,0.0,0.0
